Arranjo,Tipo de Teste,Tempo (ms),Memória Consumida (bytes),Comparações,Desvio Padrão Comparações
100000,Pior Cenário,268,4580,300000,0
100000,100 Números Aleatórios,4292,3920,4847569,27890
1000000,Pior Cenário,2643,724,3000000,0
1000000,100 Números Aleatórios,59468,3840,53241703,303679
200000,Pior Cenário,1137,724,600000,0
200000,100 Números Aleatórios,13463,3840,9972130,56401
300000,Pior Cenário,1293,724,900000,0
300000,100 Números Aleatórios,17762,3840,16021601,86404
400000,Pior Cenário,1639,724,1200000,0
400000,100 Números Aleatórios,32578,3840,19011876,112919
500000,Pior Cenário,2289,724,1500000,0
500000,100 Números Aleatórios,29785,3840,23915063,155215
600000,Pior Cenário,3131,724,1800000,0
600000,100 Números Aleatórios,37925,3812,28600618,180400
700000,Pior Cenário,4135,724,2100000,0
700000,100 Números Aleatórios,41633,3840,33717795,217665
800000,Pior Cenário,2956,724,2400000,0
800000,100 Números Aleatórios,48685,3840,38805911,224841
900000,Pior Cenário,3123,724,2700000,0
900000,100 Números Aleatórios,55174,4010,46382999,260884
