Arranjo,Tipo de Teste,Média Tempo (ms),Desvio Padrão Tempo (ms),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,Pior Cenário,103,16,100000,0,492,407
100000,100 Números Aleatórios,39,26,48492,31079,246,147
1000000,Pior Cenário,1093,120,1000000,0,215,15
1000000,100 Números Aleatórios,548,332,506210,267283,245,147
200000,Pior Cenário,201,5,200000,0,215,15
200000,100 Números Aleatórios,103,60,91877,53446,245,147
300000,Pior Cenário,349,19,300000,0,215,15
300000,100 Números Aleatórios,155,91,142813,81076,245,147
400000,Pior Cenário,441,17,400000,0,215,15
400000,100 Números Aleatórios,237,136,205970,114976,247,148
500000,Pior Cenário,600,5,500000,0,215,15
500000,100 Números Aleatórios,262,157,232960,139525,245,147
600000,Pior Cenário,617,10,600000,0,215,15
600000,100 Números Aleatórios,339,218,284299,171947,245,147
700000,Pior Cenário,752,12,700000,0,215,15
700000,100 Números Aleatórios,369,213,338892,194072,245,147
800000,Pior Cenário,883,11,800000,0,215,15
800000,100 Números Aleatórios,440,254,399035,226321,245,147
900000,Pior Cenário,969,26,900000,0,215,15
900000,100 Números Aleatórios,446,293,409709,263486,248,148
