Arranjo,Tipo de Teste,Média Tempo (μs),Desvio Pradrão Tempo (μs),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,Pior Cenário,86508,884,100000,0,1049,1195
100000,100 Números Aleatórios,52472,38750,52403,27933,246,147
1000000,Pior Cenário,1002419,125873,1000000,0,353,211
1000000,100 Números Aleatórios,590916,360580,502061,279101,246,147
200000,Pior Cenário,258075,43884,200000,0,353,211
200000,100 Números Aleatórios,115676,64462,99001,55125,246,147
300000,Pior Cenário,385067,38774,300000,0,353,211
300000,100 Números Aleatórios,239854,163339,168166,82716,246,147
400000,Pior Cenário,501006,51902,400000,0,353,211
400000,100 Números Aleatórios,244306,127676,218675,109161,249,148
500000,Pior Cenário,574761,58635,500000,0,353,211
500000,100 Números Aleatórios,263613,173555,221442,145631,246,147
600000,Pior Cenário,670253,26537,600000,0,353,211
600000,100 Números Aleatórios,302448,175346,278723,161065,246,147
700000,Pior Cenário,789230,41023,700000,0,353,211
700000,100 Números Aleatórios,366048,219928,326814,193767,246,147
800000,Pior Cenário,1016517,135664,800000,0,353,211
800000,100 Números Aleatórios,430472,246137,388756,226297,246,147
900000,Pior Cenário,1015882,30018,900000,0,353,211
900000,100 Números Aleatórios,484793,280708,445701,258298,249,149
