Arranjo,Tipo de Teste,Tempo (ms),Memória Consumida (KB),Comparações,Memória Inicial (KB),Memória Final (KB)
1000000,Pior Cenário,831.6142559051514,0.0,3000000,244640.0,244640.0
1000000,100 Números Aleatórios,15143.139600753784,0.0,51940386,244652.0,244652.0
900000,Pior Cenário,739.8371696472168,0.0,2700000,221176.0,221176.0
900000,100 Números Aleatórios,12453.531265258789,0.0,44265848,220312.0,220312.0
800000,Pior Cenário,662.8015041351318,0.0,2400000,198752.0,198752.0
800000,100 Números Aleatórios,11596.11439704895,0.0,41386611,198764.0,198764.0
700000,Pior Cenário,706.1383724212646,0.0,2100000,174804.0,174804.0
700000,100 Números Aleatórios,12141.826868057251,0.0,39034285,174824.0,174824.0
600000,Pior Cenário,478.318452835083,0.0,1800000,152116.0,152116.0
600000,100 Números Aleatórios,8557.495594024658,0.0,30540142,152136.0,152136.0
500000,Pior Cenário,447.6625919342041,0.0,1500000,131072.0,131072.0
500000,100 Números Aleatórios,7718.993902206421,0.0,27217006,131088.0,131088.0
400000,Pior Cenário,320.3465938568115,0.0,1200000,107644.0,107644.0
400000,100 Números Aleatórios,5845.06893157959,0.0,21189083,107656.0,107656.0
300000,Pior Cenário,251.79767608642578,0.0,900000,83852.0,83852.0
300000,100 Números Aleatórios,3964.794158935547,0.0,14968083,83872.0,83872.0
200000,Pior Cenário,172.1961498260498,0.0,600000,61896.0,61896.0
200000,100 Números Aleatórios,2733.0803871154785,0.0,10275714,61916.0,61916.0
100000,Pior Cenário,69.7791576385498,4.0,300000,38348.0,38352.0
100000,100 Números Aleatórios,1234.0185642242432,0.0,5330117,38400.0,38400.0
